Address,Latitude,Longitude,APC,LP,PDP,NNPP,Accredited_Voters,Registered_Voters,,,,,
"OBIUNO HALL IV, AGUATA, ANAMBRA",6.0085842,7.1009488,0,49,0,0,53,181,,,,,
"OBIUNO HALL V, AGUATA, ANAMBRA",6.0085842,7.1009488,0,40,0,0,42,149,,,,,
"OBI NRI I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,88,2,0,92,339,,,,,
"OBI NRI II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,55,0,1,61,164,,,,,
"OBI NRI III, AGUATA, ANAMBRA",6.0085842,7.1009488,0,73,0,0,82,275,,,,,
"OBI NRI IV, AGUATA, ANAMBRA",6.0085842,7.1009488,0,42,0,0,45,154,,,,,
"OBI NRI V, AGUATA, ANAMBRA",6.0085842,7.1009488,1,29,0,0,32,149,,,,,
"OBI NRI VI, AGUATA, ANAMBRA",6.0085842,7.1009488,1,61,0,0,61,194,,,,,
"UMUDIKE HALL V, AGUATA, ANAMBRA",6.0085842,7.1009488,1,36,0,0,37,115,,,,,
"UMOMUNYE HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,2,160,2,3,171,625,,,,,
"UMOMUNYE HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,100,0,0,124,433,,,,,
"UMOMUNYE HALL III, AGUATA, ANAMBRA",6.0085842,7.1009488,1,80,6,0,90,395,,,,,
"UMOMUNYE HALL V, AGUATA, ANAMBRA",6.0085842,7.1009488,0,79,0,1,86,327,,,,,
"NWAGWAZI PRY SCHOOL I, AGUATA, ANAMBRA",5.9353459,7.0794263,0,132,4,0,136,516,,,,,
"NWAGWAZI PRY SCHOOL II, AGUATA, ANAMBRA",5.9353459,7.0794263,0,79,1,0,82,266,,,,,
"NWAGWAZI PRY SCHOOL III, AGUATA, ANAMBRA",5.9353459,7.0794263,0,74,2,0,78,338,,,,,
"EZINKWO PRY SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,140,0,0,125,477,,,,,
"EZINKWO PRY SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,2,117,0,0,120,442,,,,,
"OKWU HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,12,72,53,1,64,236,,,,,
"OTIOGBATA HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,8,14,77,0,144,722,,,,,
"OTIOGBATA HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,0,0,0,150,528,,,,,
"OTIOGBATA HALL III, AGUATA, ANAMBRA",6.0085842,7.1009488,0,96,2,0,100,378,,,,,
"OKWUTE HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,5,158,2,0,167,573,,,,,
